Activity,Duration_min,HeartRate_bpm,Weight_kg,Height_cm,MET,CaloriesBurned
Cycling,45.82899846423612,119.95980723357177,65.24021561959076,,7.5,373.5325517473715
Yoga,,126.13652514425327,89.0023062022661,161.06897162560455,2.5,99.77833807398827
Yoga,36.04390628206987,178.15518906831443,71.64281926116348,170.11010278770317,2.5,146.3005055621616
Running,32.40485320039516,103.8044486468077,70.40908414054832,164.1969939779606,9.8,396.72953659131986
Cycling,38.24723484367045,109.63739473095976,87.28779440894192,173.6538513407377,7.5,429.06949281914723
Workout,43.05435798439657,164.60811045385623,79.94779477084367,178.34331826852045,6.0,355.12405293784593
Cycling,51.76399869943714,120.6298903876232,71.78149240823124,163.31443653616213,7.5,452.40081680205907
Workout,50.173364991742716,118.73446789812762,,182.57309639814738,6.0,293.4012294826774
Running,5.0,155.87159641933584,64.72773350252248,176.8834726762152,9.8,
Walking,38.05383622455947,94.49510956795622,64.14435358800553,165.1768433943107,3.5,145.72357446297724
Yoga,9.81156173186475,150.53636073133515,60.1828934291347,171.7074327505794,,7.608376539434428
Running,34.485454950653484,131.1404107330386,67.5444381425951,168.05496886980183,9.8,394.518377472114
Yoga,37.5242082437816,141.62005327079945,69.20897236457188,165.21993992804295,2.5,102.66287103615434
Walking,59.52296716169418,141.15077388130314,50.064458394101294,184.1314505647301,3.5,196.3788796369298
Walking,39.397690657998005,114.30043533793406,,,3.5,193.28383406374306
Running,45.1843603668652,156.27959450374766,69.91757015687938,156.5903163936894,,513.1211074368056
Walking,55.86112761314858,116.24655721304828,61.84660445659259,154.7203032307139,3.5,182.78329974260953
Workout,64.555045196386,140.22122547496855,,155.12903079547772,6.0,420.1842294380184
Walking,37.53972153286179,160.9431121382284,76.16442669390321,169.89504500918173,3.5,193.14145048150485
Yoga,41.88358883360818,,,161.58486327680941,2.5,
Yoga,40.20046604484507,123.32184160148269,63.73927128223705,168.33293716612778,2.5,
Yoga,29.148020711378475,141.57838185602526,50.76973070165201,174.36396284961373,,93.67282088778164
Yoga,24.617695531152208,121.01278024490951,96.88404585170744,185.28713530432287,2.5,73.02580853496866
Workout,5.0,192.59490568171935,66.65823257322337,161.81526766311643,6.0,46.7542306274395
Cycling,,149.50315014684546,50.86705222880592,150.9144939266677,7.5,85.66102387725645
,5.0,132.1014608959234,108.19360136836872,182.92402065330725,9.8,79.60506894310035
Yoga,65.10396968906505,137.81405433644358,58.56777705463533,150.42899177680928,,135.97304209420003
Walking,43.768320165948566,140.17763538615168,62.49104098308551,150.03571292544208,3.5,176.72093779162486
Yoga,37.48122054106333,140.91858851958705,63.35842112017565,182.664502599669,2.5,61.15342942292702
Walking,25.650296278378367,124.00004455883608,54.824563321171574,175.6623152773748,3.5,77.43051016998879
Walking,40.59558526469248,,67.96822420995372,169.84840341226183,3.5,
Yoga,23.040402446893317,126.20366595683767,40.0,164.50079002546525,2.5,21.30450329274196
Workout,43.480371132412074,101.50770737381981,78.0307805945275,162.60795982604745,6.0,1951.5990402986158
,44.91467965842707,147.9568601743615,51.46634155115335,158.4917397500566,3.5,161.22508831437875
Walking,,109.95737393377568,60.01614173227626,162.16956825724583,,73.01999428041292
Yoga,22.390760703551884,103.50124802538208,74.01823608423395,164.52584618969277,2.5,103.60170608117686
,59.24398709190235,129.64113833589627,62.546467780326616,151.25550108060577,3.5,254.8860174431998
Walking,38.94280091417399,126.74693425775283,63.03742703482848,156.79771484027543,3.5,185.47349235675162
Yoga,24.379591414702187,136.2408618947247,52.855070687242744,143.88081751135803,2.5,52.51570439554798
Yoga,32.58987396620962,115.79486576508975,90.1477786096454,165.77927452100315,2.5,126.61984042168187
Running,19.788118265867855,,71.37778858647908,,,238.2563594677978
Workout,38.656328386761665,147.30298762721227,52.006580620769995,182.78515436265178,6.0,193.68858930369274
Workout,56.632566153289375,145.78043001237984,67.13818935269421,168.75554922032558,6.0,388.7082001696914
Walking,39.446586648114774,144.73812615441696,51.158384064184276,159.43957933084621,3.5,99.01412092691417
Workout,87.27266887350768,130.84919030878706,85.6689715278734,162.99644998300266,6.0,710.1464632326523
Walking,48.42719136098003,134.22306558330686,67.39565552850254,169.86822312511103,3.5,204.66999324045221
Running,44.59908895684425,135.76097219276258,53.293441665115196,167.27612626545002,9.8,381.22156169335074
Yoga,21.833957380683884,113.59895650477559,73.371088827487,170.78285919211598,2.5,47.21538100729454
Yoga,35.22933106314667,166.8511650036525,61.66309193542024,168.77044773537935,2.5,73.51003562037215
Yoga,24.419723139326155,163.28970081219248,49.54125613373023,162.4735573481,2.5,80.71009303031363
Workout,5.0,149.8561397750242,69.57255600680251,159.64206708927,6.0,44.06853382184316
Running,59.48524444257615,119.35346033996005,69.23410200965472,159.10437796040034,9.8,642.2270783791317
Workout,29.770988888995376,143.47860294875375,78.65280359080877,155.7472871537794,6.0,210.4174459272732
Workout,24.791998513333876,154.45924844424428,65.77404268301358,154.17880716225474,6.0,157.22940472498274
Running,44.211400679169294,99.42007745697143,66.28472344350261,183.38463930862474,,
Running,50.24999104443034,172.36279404246244,66.92159643854221,166.24710151646056,9.8,533.3674773127785
Running,33.584503341874424,86.51530972110513,84.14339593408435,163.44698548891665,9.8,458.1070462874302
Running,39.947966647819634,147.61514549272687,61.27911772071115,160.04115683827095,,402.127128414018
Yoga,54.92374814628806,166.33205765631172,70.63345962566878,169.28879109330933,2.5,164.3492993146051
Cycling,32.796128107801046,127.17341339932423,72.40094542418734,177.03663886056074,7.5,248.90611077720988
Cycling,46.04667483526668,126.23839000442317,69.19731823076911,172.2326447625574,7.5,402.7211289416484
Running,6.815107632216993,146.69151981617307,60.82514472728515,174.21589087311511,9.8,33.049358791258314
Cycling,15.173620031445026,176.2970472983468,66.44724808769004,159.1347121781602,7.5,120.30269219720222
Cycling,52.11079556160807,122.97330905146585,63.87610686280579,,7.5,406.0510423117179
Running,14.128827216654031,110.47612020335139,88.51052432134165,159.2662188814104,9.8,182.6818264979724
Cycling,44.68275094226592,119.4056136098002,59.50683457482433,166.0703139880324,7.5,349.22947766371107
Workout,37.06002435605855,,,177.7259100805821,6.0,177.82642222477713
Walking,32.71065474959542,152.4439474678789,64.92557970280309,169.39403844903842,3.5,113.42715850000174
Walking,23.430744620645434,,64.07962163085593,181.2671436599605,,105.15828969957386
Running,58.18680036210751,124.79152114836111,67.36212224202356,162.11476389549858,9.8,629.1690971614096
Yoga,74.5978230903967,152.74052828547516,59.51064077358402,156.93038945982954,2.5,169.8033107039569
Running,46.00384325200389,,66.32448175919453,170.1212848669428,9.8,492.9964646802755
Yoga,46.44981431345634,148.97725988470992,66.55528446765453,166.1885836322282,2.5,139.6217422906644
Walking,26.353387402850117,104.04778740459282,75.87187627232007,168.22702253164667,3.5,145.56254075170858
Running,16.0780553635124,153.96798570809995,66.11607660450983,166.73220162966498,9.8,154.9038315852811
Workout,39.205221903876506,138.54762553163675,66.22970036757907,160.15565626648524,6.0,242.55337064449705
Cycling,20.52500704083848,127.7855242295083,,166.9573604777,7.5,177.1359937268251
Yoga,5.0,133.2723371985949,,174.7337053582917,,20.313617349963963
Cycling,56.06891624731165,97.83096763368158,53.19589054848105,175.76107707901954,7.5,
Cycling,57.04333576503666,132.70001859867426,49.97215328159814,160.10483400814627,7.5,370.0935571757333
Running,22.823224540938114,126.4582553660849,85.34575555260574,167.31005931730485,9.8,299.80578426116114
Cycling,44.87928642558489,98.51418473906091,73.4489052551379,,7.5,374.0247152839533
Workout,60.039045355835334,113.2231143273364,62.367360364047165,160.32109250940476,6.0,385.08318338538896
Cycling,44.10053374123758,126.76886855118704,65.23642323959757,158.5055360056745,7.5,372.57192499236595
Running,16.13690707802533,114.81769537630396,60.28925968004208,172.94402963968872,9.8,179.79710231841898
Workout,35.34213173525803,69.69715237373958,67.53536869329862,171.1895920698048,6.0,198.8463937716356
Walking,66.53618840083982,156.90968849022164,53.33795372714374,156.63023918267888,3.5,193.7071070256395
Cycling,44.94053287210226,126.44775312275837,75.08200382107911,151.0053940304249,7.5,416.7569942390893
Running,50.782642063656105,73.15124476908638,67.10544078354202,167.11556102296348,9.8,591.7451215079902
Walking,46.83258438738228,183.37407349198486,,160.81402902135073,3.5,181.327251919457
Walking,22.889772840434933,161.03480828282972,54.272691407857735,,3.5,45.536558275775946
Yoga,27.583095614347144,121.27544872329162,71.29120516127162,158.12797476151536,2.5,87.86948131282057
Workout,46.77730314103485,108.93756271583247,54.54834028224751,171.02609815034575,6.0,
Cycling,56.337435600408156,140.07978026901304,,163.48589289089006,7.5,421.18343636871543
Running,61.99809901835765,135.05817037210352,66.05146308130101,180.66104045018662,9.8,680.0966041954654
Yoga,22.83788910463613,143.55224812000932,95.08798279538783,144.1276258958126,2.5,95.73634760318896
Workout,48.662410693543876,109.00949316862379,67.05759360025772,178.3799237148715,6.0,1685.7802188037933
Yoga,63.74088223437953,157.44430052429084,40.0,161.5609662023381,2.5,106.74813282504013
Workout,20.258364594239552,118.16344692061126,57.289983399670994,160.1157866404362,6.0,119.62294238148138
Workout,69.73494271599549,147.01914371638918,73.20474934664688,149.48806163351748,,507.29470673770095
Cycling,72.7788165468838,110.0765184885744,51.45846866019051,169.6508184914276,7.5,482.2778040502341
Workout,92.5017267924332,196.20359964383715,74.97322929374792,146.73238006006426,6.0,689.9953612322181
Yoga,44.61866881659989,147.38808372413146,66.90584689718035,173.17903644597916,,117.01414525825349
Workout,44.72849352524897,200.0,76.89592631108931,149.86635934958238,,364.7238486454031
Cycling,56.539887782346355,150.69004940815117,,151.4429403976309,7.5,403.7184910204187
Cycling,55.95605346098833,115.9633910782829,57.35859302080741,153.08785383317317,7.5,402.4881436327039
Yoga,62.52733721991211,150.7345198397299,71.77982189941413,157.840500326065,2.5,204.95900598905013
Walking,55.68066360930207,152.51444545483042,64.90965950033409,174.420759410995,3.5,190.61571172016127
Walking,37.87876181923923,139.33310361244406,64.1837262585647,180.03956533621655,3.5,119.43627800123895
Workout,64.43994241947004,145.7598118008014,83.82763842738876,158.87406451059974,6.0,567.3436224551257
Running,18.574917006145487,149.0431782351919,72.24969112474142,164.53436898693934,9.8,207.3443225986858
Workout,40.117046734507525,105.15797473085647,41.12092439965127,169.8991730907251,6.0,178.8136532244181
Yoga,71.27471232099599,103.3785398817512,74.58881747019666,161.70687636266095,2.5,
Yoga,14.995070037593614,,73.38762560498147,,2.5,-4.208840785531898
Yoga,26.45048686005674,133.18855985926277,79.21893544668119,164.9592052849597,2.5,94.59207662941036
Yoga,53.434945821545824,124.4207207131645,53.72361896511789,162.4654012124347,2.5,117.06286482831244
Yoga,47.878239464723045,105.61073585192628,68.89766990252147,150.80184305097902,,144.91842625637946
Cycling,22.499491846875102,149.38285526299117,66.33956025491818,166.4904319792467,,224.06997543729815
Walking,31.67611994539719,137.076120503412,53.50841783024296,174.58375704648057,3.5,74.12460884303931
Yoga,16.384358746993218,134.22322478427137,76.36119881487897,157.21722152259719,2.5,
Running,59.60969999041144,123.55026737065161,62.10144800828741,145.3172936581067,9.8,634.1846068865292
Running,34.88237284658937,,78.83278869502801,161.80449357704697,9.8,427.28640327013943
Running,,108.96672095477558,56.08569457919029,180.0977064480752,9.8,683.0787400960106
Running,41.62200488080043,153.34350731343343,47.472974350407256,177.1194993548775,9.8,287.38795637269953
Cycling,35.605193931942466,112.41267795867034,62.089205815626265,159.19537794217413,7.5,321.0942619515796
Running,33.663564774164044,,67.78295819074937,169.55515004989857,9.8,328.6058038043055
Yoga,35.11600329615143,171.55025990680082,58.58964887337306,171.13545913150566,2.5,101.698143342774
Workout,42.21642190267606,,40.0,179.90338121489665,6.0,142.46968839510066
Running,,154.01755351797988,69.60378973902525,149.49417703799494,9.8,1004.9790047300359
Cycling,33.22280659801281,144.21772540089182,69.54776828626431,154.31171769370354,7.5,310.1005856317104
Cycling,33.87293078457381,137.78668908152633,73.2460073424916,144.90244638763346,7.5,295.2819084739365
Running,41.311876913663575,140.75871104761882,60.43409077339067,158.21590801655128,9.8,
Workout,61.8054901268852,127.62733576822674,59.779379211417115,175.66305567468834,6.0,397.0700148411566
Running,,130.869399219836,82.2838612736179,159.40280840044318,9.8,159.6497848161506
Cycling,49.101854738192905,116.29715129435688,46.09514377013941,151.91811070179693,7.5,300.70534867647115
Walking,23.65149647957676,,62.03458647598832,167.26636417482098,,87.20076079156921
Yoga,51.06545377901898,115.36935010541256,66.70762215358167,167.52368836787355,2.5,144.47574653023705
Cycling,30.124801152790877,155.14137732691492,72.2722619601709,154.82950547048665,7.5,259.4498581348055
Running,5.0,87.5125642830389,67.03720618885183,159.939540928152,9.8,93.32424039435818
Yoga,47.391552053749706,142.02633227813706,53.93608833846129,166.50576520645626,2.5,121.36167896846621
Running,47.222895406937376,138.414667535557,79.01136737625025,172.45986496691788,9.8,619.8565432917892
Running,28.418393830411404,136.15039910440083,65.0228889473229,158.51127546510946,9.8,317.22075262395947
Walking,27.233122797139952,155.61247372163717,,157.07023653289326,3.5,
Yoga,13.772545498246949,,67.51011980928072,184.1255468943194,2.5,57.36052924477485
Yoga,55.46199883077743,136.38584611430124,70.70332245465757,162.25973769255222,2.5,194.50709843451733
Walking,57.644315649336164,87.08645279533869,88.52892744077738,167.49434304214054,3.5,270.07209808643665
Cycling,22.418982296482206,119.61707794661942,69.9050161864435,171.4836495639563,7.5,206.73117107066446
Running,29.201310809222985,151.3934107793806,47.21569313581853,147.1311396485208,9.8,226.4532893508916
Workout,38.73421757722073,96.52095661158796,47.63718451029972,164.81473038301493,6.0,174.1352082313059
Running,85.41730562071093,133.99358417626863,80.1045134983792,148.54283715326338,9.8,1095.7124596690348
Running,50.902434951778645,113.06207320290507,55.36636383981033,163.692225512326,9.8,481.3579064589272
Cycling,21.131689699832414,,46.405027230258085,178.73123901836487,7.5,126.73687275126005
Running,46.07560618981011,114.55806278096007,77.00613041310119,155.01531673278055,9.8,575.3810759854401
Walking,12.466169187238364,98.82010989266423,59.29117025342395,148.33580810252175,3.5,53.9637782518278
Walking,54.35980619832342,139.65008287399502,76.3641675699153,183.87685776866593,3.5,239.60029630943623
Yoga,73.51094787088971,128.76008094938135,54.023365936047064,153.5294282459783,2.5,151.38976711233983
Workout,73.59583370167917,145.31572799217997,82.68574800399057,150.0142100277301,,611.1116969189751
Running,54.697870069486775,,75.4647644831993,,9.8,673.6409882076841
Running,28.33175288263741,160.63146842722537,56.32777560078384,153.13530078202845,9.8,225.1741286988093
Cycling,13.981964869717483,133.33716863606662,45.07531439726431,181.44914209728626,7.5,66.18885090373368
Walking,11.995899132617819,161.7155256150802,,167.74090828170654,3.5,39.55331004746061
Workout,5.0,105.60563731522615,62.477507576082246,177.83957076673437,6.0,-1.7892917150728564
Yoga,53.87711526015843,152.72399573070328,55.84722023509139,166.86066336095251,2.5,134.72428419034702
Walking,37.94328959551201,141.48476040819634,81.63569922595399,175.79702364728757,3.5,
Yoga,58.18432332906255,135.82731631286967,76.34911824094928,,2.5,205.92486681122503
Cycling,68.56062970469576,141.11830585407793,79.19355851975097,158.86397235976665,7.5,642.123103756846
Cycling,41.998110878048195,105.98152804161344,63.81790066978723,143.84488528905348,7.5,329.0738298450842
Running,42.919232194263,100.08132975187443,87.57265628388349,174.71781477757852,9.8,601.57816473748
Workout,30.71359311005067,172.74570465192497,49.27258183338366,169.1956934331535,,718.6470570429273
Yoga,33.07831165655184,125.78194554506824,58.37540574130975,154.92675374670577,2.5,80.55840165149243
Walking,54.56939824945868,,69.6785450685786,147.5109795168208,3.5,191.98849179929837
Cycling,36.51249939269379,102.44226314396771,79.01733613084537,167.81813148625145,7.5,365.0943714786673
Running,33.61984666494352,92.95554236257908,72.93390824629796,181.7595453477219,9.8,414.91288779834997
Running,39.633662811142976,127.79202802969294,64.0056111698385,163.62039077417677,9.8,419.6912760104911
Yoga,57.72660392123179,121.4603019622818,59.29822559312625,158.41553961478283,2.5,150.50621917144443
Cycling,26.146768843397947,130.04335891856127,79.08213030031226,155.62925719852032,7.5,279.0924706771977
Workout,38.669429648959344,132.17884850955437,74.17275215932436,177.49348707766322,6.0,286.28653412692825
Cycling,44.9055567555686,192.23652703151734,54.50571448770723,157.20752175589726,7.5,289.43062907111556
Yoga,63.204438071704786,121.53550048152613,54.148767223243674,161.28820899982318,2.5,130.42273675607177
Yoga,35.21406446401162,169.49850269858615,58.454142146725815,175.4173490791878,2.5,74.01951477867307
,,171.05060537612363,56.9148576125675,171.37481604836316,7.5,161.5704745117034
Yoga,30.31278111455289,,77.35809095055761,161.6709067001332,2.5,113.39001266984413
Cycling,61.06114866030758,124.1218416862722,70.22878786661622,158.01023058750656,7.5,546.5693635932497
Walking,80.66610597206929,95.96319159668177,71.69344688483717,179.6557828974538,3.5,304.0550876934364
Cycling,13.724843726279342,141.94859693334766,67.30003564156131,153.83630324894017,7.5,98.93381973787555
Cycling,18.093967698602857,155.47030199252362,67.86524858404826,162.89714814872616,7.5,131.65424486954845
Yoga,36.624064265957095,173.6921866070746,46.018191015916265,149.941235126577,2.5,76.57080283048515
Yoga,42.219121921360866,106.25105114383045,74.53020389221723,176.88867177937036,2.5,152.6385137620256
Running,55.73939131109991,123.91184027036832,58.238222232902686,,9.8,539.1703533229207
Running,22.177339827970272,106.40338523942883,64.60213600340009,158.00374201284345,9.8,219.98439298122577
Walking,18.737819267010714,114.16305018907694,59.32192493437599,171.61662465384728,3.5,58.46163858606723
Running,42.76174306267259,146.60968835589068,66.75045878182011,150.7448462869786,9.8,2630.1364976006394
Cycling,34.83198559585663,113.0173807658566,71.87712712692795,171.3538138121884,7.5,286.6296317589519
Yoga,58.534419955430494,109.39322056707476,52.89373960972005,161.39457207932494,2.5,145.92534293718307
Running,49.74719606380768,149.92489659305687,68.03299069092803,152.94700785219806,9.8,581.675830091729
Running,51.10758695266438,141.26846975108867,59.61196905495372,155.09737029738181,9.8,483.31986510008767
Walking,37.91037307246267,138.75027994837936,80.85750531051204,158.15799900438262,3.5,179.77377093774228
Walking,87.11160517136412,113.67781604502335,51.624495164244465,160.55956324536263,3.5,276.7408791952805
Cycling,23.2450403681248,162.32558195536754,52.96980476523135,153.01473926158786,7.5,120.63381222065954
Yoga,52.2161966750955,130.36225493299477,60.68515738355828,167.94515989568046,2.5,111.05743915057984
Walking,14.606200258537854,189.50475346886924,53.892275419833936,152.7527801604433,3.5,85.79045612316338
Running,18.530646445210955,134.0291542367511,62.307427844157054,141.3487754686171,9.8,169.4298330363378
Yoga,27.853088024690898,71.666303953821,58.665373926611444,184.19619628797523,2.5,60.84713981075495
Yoga,72.58646673236052,70.55311163057829,66.06094853242175,,2.5,187.7384312486132
Running,45.277888609080385,145.5987485461367,77.09686433388985,185.09491591645576,9.8,530.2656746273443
Walking,28.190438629112496,162.51235380827015,65.8553552682113,154.5634064997295,,109.94977958349149
Running,47.488726519091465,110.40429675190376,66.94825472979772,169.79794714288,9.8,518.7785696136825
,40.70295762849017,182.5244693194288,52.3121287662548,173.9460869886326,2.5,92.33612264794375
Workout,30.160532617217605,171.57497342485257,63.39128535421845,163.10653741826744,6.0,189.4999818103651
Workout,12.067422884235448,135.2636690860287,59.93894634068723,150.5555002442132,6.0,63.13364245309314
Cycling,68.7708496902458,143.48634855890327,73.17969156368582,162.35518865777706,7.5,
Running,44.19636257420084,152.36325543471293,55.82519620156763,171.2639693309624,9.8,392.98401272652995
Running,83.47476746936478,177.24987243301288,54.672132889865196,170.88220449900697,9.8,725.6376570288936
Cycling,58.80643241081759,147.05339916863954,68.80915036576819,164.98371387541943,7.5,489.1264890310453
Cycling,51.02639449522085,134.6982913067787,88.76123665247528,173.97287943171747,,546.7074610695003
Cycling,31.295913427660658,146.8075299396662,62.88861651230404,173.50086121492353,7.5,257.4877971222069
Yoga,18.093088722861665,143.43400703623064,67.01850087476599,159.76332399940497,2.5,56.645871509173716
Running,35.645380310231054,153.11025468187484,76.37626218025743,149.79580345141792,,445.2112926048716
,17.514148115883383,90.74941767301158,71.11884678338326,166.9043390801079,2.5,90.74472156698968
Cycling,53.003807614615084,137.89633624868637,71.19775376458637,,7.5,453.20509919247047
Running,72.6530499539426,141.5110126894934,63.85769057698394,166.4374860089929,9.8,780.1533469324598
Yoga,,128.1788208236957,64.09117780666087,178.45529853551898,2.5,87.68288082163619
Yoga,58.88981944782394,149.60416110543898,55.93821754728165,169.37492015871098,2.5,140.40127418182666
Cycling,26.215418595662868,178.02919051422603,70.83647905161659,177.9625570922173,,245.54871840184475
Running,33.95066323585298,133.45542827761102,70.56265315998371,154.8852019898343,9.8,381.73858540843537
Cycling,23.700720308691142,147.29302701769225,73.60597433232563,175.8745573868069,7.5,196.9303695739213
Running,5.0,170.15661901128883,59.142746353359854,181.76597931651668,9.8,
Workout,39.269333001627786,134.0391126485464,74.96161279254326,165.64322006708025,6.0,252.24357716827495
Walking,42.56903475195505,107.78841994102977,78.60001745777524,188.2205339369769,3.5,207.31499083517699
Walking,61.317219975232746,145.3944712271981,50.432502580684876,156.42568788271396,3.5,192.04367572061432
Walking,55.90876505338575,74.9583465800481,61.437529047711124,158.61166130240548,3.5,
Cycling,56.17905798077991,72.540824050933,79.10028298353006,171.4993555042847,,563.7710011848534
Workout,20.51927553764246,138.32530117790645,57.20533160176537,,6.0,130.48569108441015
Running,49.18994612141384,71.37574042295334,71.34515032620008,157.5709266721877,9.8,571.5815426423719
,71.65187930963185,97.12080643929522,65.10291202402918,171.19104076615767,2.5,203.66200087679255
Running,47.597357014181625,120.49753591224194,68.9705518570821,168.55541513332395,9.8,557.9851354402869
Yoga,76.57187226129994,111.96459125635283,65.46867563230654,159.13723323467752,2.5,
Running,80.37932222239726,126.30483741132205,73.95405181477126,166.89051626044372,9.8,960.4902070535476
Workout,34.63063459416709,157.82175351921242,52.74179436963346,172.59025520630925,6.0,178.24365617431715
Yoga,26.061205098388566,135.9620202840983,54.040121070532564,,2.5,73.71855034637414
Cycling,24.770756691621,109.01698995551352,82.57416260320228,170.1699580964089,7.5,245.85279323176758
Running,9.677283597935599,163.8610268196069,90.20435935982383,156.32956772478653,9.8,160.36041051495795
Running,,94.27856908639524,64.93496673648364,158.26175619025153,9.8,352.4496550153381
Yoga,64.15330899512493,135.54708771930248,85.58319250582052,176.11587313220278,2.5,246.79778409726796
Cycling,5.0,91.49785062470738,55.73870423583773,171.1374629310643,7.5,
Cycling,19.250931985725074,136.30794764326347,58.62096939816851,146.13162491892277,7.5,148.0161820738267
Workout,37.457371166960044,,82.48985014094445,161.25775374957465,6.0,293.4479037519832
,22.456295987565994,157.0559477881592,74.6492783434803,169.8969677459316,7.5,192.19164689669597
Cycling,29.45428111519559,148.01723677985575,84.2771251751871,,7.5,
Cycling,29.753406511553926,115.32151670020843,70.62266922870806,171.18204245183952,7.5,273.75276468856634
Walking,34.84919559876502,110.52650897959397,52.8494470818287,166.15981659782295,3.5,
Workout,,122.12258167419726,67.68292829003212,163.67402326520667,6.0,171.40860554650925
,23.77573572288904,176.88928650085847,79.42403046161613,163.36837864162757,9.8,316.80603913572935
Yoga,58.686194918424626,170.476712027702,63.407177568245935,175.91179313594535,2.5,138.23849015138038
Running,60.9930835572069,105.79329536578373,61.56279777793137,171.94939586430624,9.8,603.2626525919576
Workout,12.389133095051811,150.0056334500337,70.80624083556947,,6.0,94.180450199801
Yoga,5.0,86.71421427756836,58.28592481345766,165.88833098900778,2.5,
Workout,61.26749699141862,,68.546005797362,159.5118130861978,6.0,416.015199765212
Cycling,15.42399162895725,106.81089117843854,65.76201757605747,161.9324633583846,7.5,106.13600074862178
Yoga,44.2548967691948,156.73198643931102,59.11502647101895,175.64671124436876,2.5,105.32716106899039
Cycling,8.686562539435656,97.73206200528969,76.76884678240897,174.70502494536217,7.5,116.40057313932564
Running,65.95509970519345,140.7337558855618,72.75185526740928,158.51427570304566,9.8,774.8044083196123
Running,90.87335790603055,130.01775303914908,60.75595298856049,165.999198477249,9.8,878.8390356381842
Yoga,43.65613818410673,125.61377925676224,64.82046482071912,169.98467322614064,,137.07152187603404
Yoga,38.11794703080967,171.78957376860996,61.744692801825956,169.33184411406663,2.5,108.53297070573322
Workout,33.557208496198726,173.99242980835777,57.33622832908457,,6.0,1179.940474156961
Workout,55.63598622625823,126.39017953867571,44.62076393111557,153.87925181623265,6.0,221.8791814310166
Cycling,51.353735018691715,121.35209248500014,59.19406706772713,153.2851591145219,7.5,356.4472806953792
Yoga,,92.32816702992082,57.51167002021253,176.70194743361313,2.5,113.20046630985205
Running,27.441669548038348,129.89352531901974,66.3786884940243,180.09025198891854,9.8,306.1491623549234
Workout,46.8023541280929,178.83258139364978,,150.18478860956543,6.0,349.36357005017976
Workout,29.15063866587608,126.78161651180191,55.37378396236538,164.72239863355335,6.0,170.72346892036262
Running,18.845687038598914,148.21898207859448,69.48196834072407,173.14050797333323,9.8,252.87250154960353
Workout,39.179691579930726,95.06256690201839,53.5250506055999,142.96221496240256,6.0,200.87142418945064
Cycling,21.549745392458355,119.13062675665996,63.49648981233854,154.26662141920954,,
